Respondent Details, tap water,boiled tap water,boiled filtered water,filtered water,"REWE Still water
（with high materials）","Black Forest Still water
(with low materials)",Sprudel Water,Volvic Touch
"Taste Description 
(Respondent 1)","hard
a bit bitter","soft
Tasteless","very soft
sweet aftertaste","hard
a bit bitter aftertaste","bitter
a bit hard","soft
a bit sweet aftertaste","mineral
very bitter
Stimulate the tongue","sweet
Delicate fragrance
soft
A subtle fruity flavour"
"Taste Description 
(Respondent 2)",normal,"soft
","very soft
sweet aftertaste","a bit hard
","hard
Rich in minerals
rough","soft 
sweet aftertaste","Thrilling
cool
stimulating","summer vibe
a bit sweet
refreshing"
"Taste Description 
(Respondent 3)","a bit dusty
hard
calcium","sweet
soft",bitter acidic,"more bitter acidic
a bit bitter
strong flavor","city water
a bit dusty
tasteless","neutral
normal
a bit sweet","gas
very acidic
hard ","fruity
sweet
sweet acidic
aromatic"
"Taste Description 
(Respondent 4)","hard
sweet",tasteless,"a bit stimulating
The bitterness in the middle of the tongue","crisp
Refreshing
no stimulating","Sweet on the palate
a bit acidic
soft","boiled
dry
bitterness at the root of the tongue","acidic
no thrilling
gental","sweet
sparkling
crisp"
"Taste Description 
(Respondent 5)","sticky
no stimulaitng
bitter aftertaste","a bit hard
sweet aftertaste","crispy
Sweet on the palate
with a hint of sweetness
stimulating","sweet
crisp","A cooling sensation upon entry
very acidic
irritant
hard","mild
Sweet on entry
mild
no lingering sweetness
semi-viscous","bitter
strong irritant
hard","fruity
bright
summer vibe
citrusy
energetic"
"Taste Description 
(Respondent 6)","a bit sweet
lubricate",smooth,"a bit lubricate
tasteless","a bit sweet aftertaste
cool
lubricate","cool
pale","a bit sweet
crisp
refreshing","strong stimulate
lubricate","fruity
soft
a bit acidic aftertaste
sweet"
"Taste Description 
(Respondent 7)","cool
Moisturise
not sweet",Moisturise,"a bit dry
clean",cool,acidic,"dirty
many materials","acidic
stimulating","fruity
tasty
a bit bitter aftertaste"
"Taste Description 
(Respondent 8)","cool
Crisp","clean
no material
comfortable","tasteless
not quench thirst
normal","tastey
nature
mountain spring water","a bit sweet
a bit dry","not crisp
sweet","not fresh
a bit stimulating",acidic
"Taste Description 
(Respondent 9）","not sweet
clean
no materials","clean
soft
tasteless",a bit bitter,"a bit bitter
","very soft
tasteless","mineral
a bit bitter","acidic
a bit stimulating","sweet
chemistry"
"Taste Description 
(Respondent 10)","cool
clean
smooth
neutral
not dry",refreshing,"very soft
",a bit bitter aftertaste,"very soft
tasteless",bitter,"acidic
a bit stimulating
bitter and sweet aftertaste
","candy water
sweet aftertaste
acidic"
